title,date,apUnit,region,G_score,S_score,P_score,R_score,I_score,T_score,E_score,strongestLens,secondLens,bestContextUse,bestEssayEvidence,bestComplexityMove,dangerWarning
Marriage of Ferdinand & Isabella,1469,1,Spain,2,2,3,3,0,0,2,P,R,"Before Spain became the dominant European power, Ferdinand and Isabella first unified the peninsula through marriage, religious coercion, and the completion of the Reconquista.",Spanish Inquisition; Expulsion of Jews 1492; Reconquista,"Although Ferdinand and Isabella's religious policies unified Spain politically, the expulsion of Jews and Muslims removed economically productive populations and weakened Spain long-term",Students often forget that Ferdinand and Isabella didn't create 'Spain' instantly—Aragon and Castile remained separate kingdoms with separate laws under a shared monarchy
Columbus / Reconquista,1492,1,Spain; Americas; Atlantic,3,2,3,2,1,2,3,G,E,"Before the Columbian Exchange transformed the global economy, Spain's completion of the Reconquista freed resources and ambition for overseas expansion—Columbus sailed the same year Granada fell.",Treaty of Tordesillas 1494; Portuguese exploration; Columbian Exchange,"Although Columbus is celebrated as an explorer, his voyage was driven by a geographic miscalculation—he thought Asia was much closer—and he never realized he'd found a new continent","Students often focus on Columbus 'discovering' America and miss the AP connection: 1492 was when the Reconquista ENDED, freeing Spain to look outward"
Columbian Exchange,1500-1650,1,Americas; Europe-wide; Africa,3,3,2,1,1,1,3,G,E,"Before Europe industrialized, the Columbian Exchange had already transformed its economy—new crops fed population growth, American silver fueled inflation, and enslaved Africans powered plantation agriculture.",Silver from Potosí; Potato's impact on European population; Triangular trade,"Although the Columbian Exchange brought new crops that boosted European populations, it simultaneously caused the greatest demographic catastrophe in human history for indigenous peoples","Students often list items that moved (potatoes, horses) without analyzing WHY it matters—the AP wants you to explain the demographic, economic, and social consequences"
Commercial Revolution,1450-1700,1,Europe-wide; Atlantic,2,2,2,1,1,1,3,E,S,"Before the Industrial Revolution mechanized production, the Commercial Revolution had already created capitalism's infrastructure—banks, stock companies, and a merchant class demanding political influence.",Fugger banking family; Dutch East India Company (VOC); Price revolution,"Although the Commercial Revolution created enormous wealth, it also deepened inequality—merchant elites prospered while many peasants and workers saw little benefit, and the Atlantic slave trade was integral to the new economy","Students often confuse the Commercial Revolution with the Industrial Revolution—Commercial Revolution is about trade, banking, and capitalism's infrastructure, NOT factories"
Gutenberg Printing Press,1456,1,Holy Roman Empire; Europe-wide,1,2,2,2,3,3,2,T,I,"Before Luther posted his 95 Theses, Gutenberg's printing press had already created the infrastructure for ideas to go viral—turning a local protest into a continent-wide movement.",Gutenberg Bible; Luther's pamphlet campaign; Index of Forbidden Books,"Although the printing press is often credited with spreading the Reformation, it also strengthened the Counter-Reformation by enabling the Catholic Church to distribute standardized catechisms and propaganda","Students often say 'Gutenberg invented printing'—he didn't. China had printing for centuries. He invented MOVABLE TYPE in Europe, which made mass production of varied texts economically viable"
Age of Exploration,1450-1600,1,Atlantic; Africa; Americas; Indian Ocean,3,2,3,1,1,3,3,G,E,"Before European empires dominated the globe, the Age of Exploration first had to develop the ships, navigation tools, and state funding to make oceanic voyages possible.",Vasco da Gama reaches India 1498; Magellan's circumnavigation; Treaty of Tordesillas,"Although Europeans framed exploration as spreading civilization and Christianity, the primary drivers were economic competition and state power—religious justifications masked exploitative realities","Students often list explorers and dates instead of analyzing WHY exploration happened (economic motives, technology, state competition) and WHAT its effects were (global economy, Columbian Exchange)"
Machiavelli's The Prince,1513,1,Italian Peninsula,1,1,3,1,3,0,0,P,I,"Before Enlightenment thinkers theorized about government, Machiavelli had already separated politics from Christian ethics—arguing that effective leadership required pragmatism, not virtue.",Cesare Borgia as Machiavelli's model prince; Thomas More's Utopia; Italian Wars,"Although Machiavelli is remembered as cynical, The Prince was actually a job application—a practical manual written by an exiled official hoping to impress the Medici and get his career back",Students often reduce Machiavelli to 'the ends justify the means'—the AP wants you to explain HOW he separated politics from morality and WHY that was revolutionary
Reign of Charles V,1519-1556,1,Holy Roman Empire; Spain; Netherlands; Italian Peninsula,3,1,3,3,0,1,2,P,R,"Before the Peace of Augsburg accepted religious division, Charles V spent decades trying to hold together an empire spanning half of Europe while fighting France, the Ottomans, and his own Protestant subjects.",Diet of Worms 1521; Peace of Augsburg 1555; Sack of Rome 1527,"Although Charles V had the largest European empire since Charlemagne, his geographic overextension actually helped the Reformation survive—he could never focus enough military force on Germany to crush Protestantism","Students often treat Charles V as just a Reformation figure—miss that he was simultaneously fighting France and the Ottomans, which is WHY he couldn't suppress Luther"
Atlantic Slave Trade,1500-1600,1,Africa; Americas; Atlantic,3,3,2,1,1,1,3,E,S,"Before abolition movements emerged in the Enlightenment, the Atlantic slave trade had already created a global system of racialized forced labor that was central to European colonial economies.",Sugar plantations in Caribbean; Middle Passage mortality rates; Asiento system,"Although Europeans justified the slave trade with civilizing rhetoric, African elites also participated as traders—the system was sustained by complex networks of complicity across multiple societies",Students often treat slavery as only a moral issue—the AP also requires understanding it as an ECONOMIC system that was integral to European commercial capitalism
New Monarchies,1450-1600,1,France; England; Spain,2,2,3,2,1,2,3,P,E,"Before absolutism perfected royal power, new monarchies in France, England, and Spain had already begun centralizing authority through standing armies, professional bureaucracies, and national taxation.",Henry VII's Star Chamber; Louis XI's taille; Ferdinand and Isabella's Inquisition,"Although new monarchies centralized authority, they still depended on negotiation with nobles and representative bodies—absolutism was an aspiration, not an immediate reality",Students often confuse new monarchies with absolutism—new monarchies BEGAN centralization but still shared power with nobles and assemblies; absolutism came later
Northern Renaissance,1450-1600,1,Netherlands; England; France; Holy Roman Empire,2,2,1,3,3,2,1,I,R,"Before Luther's theological break, Northern Christian humanists like Erasmus had already used Renaissance scholarship to expose church corruption—laying the intellectual groundwork for reform.",Erasmus's In Praise of Folly; Thomas More's Utopia; Jan van Eyck's oil painting technique,"Although Erasmus and Luther both criticized the church, Erasmus rejected the break with Rome—showing that Christian humanism and Protestantism were distinct intellectual movements",Students often treat the Northern Renaissance as just 'Italian Renaissance but north'—miss that Christian humanism was its defining innovation and the Reformation's intellectual precondition
Luther's 95 Theses,1517,2,Holy Roman Empire,2,2,3,3,3,2,2,R,I,"Before the Reformation split Europe, centuries of papal corruption, the Avignon papacy, the Great Schism, and humanist criticism had already weakened the church's credibility.",Johann Tetzel and indulgence selling; Diet of Worms 1521; Frederick the Wise,"Although Luther's 95 Theses are treated as the Reformation's start, Luther initially wanted reform within the church—the break happened because Rome refused to engage with his arguments",Students often say Luther 'nailed' the theses to the door as a dramatic act of rebellion—it was actually standard academic procedure for proposing a debate. The printing press made it revolutionary.
German Peasants' War,1524-1525,2,Holy Roman Empire,1,3,3,2,1,0,2,S,P,"Before the Reformation settled into state-church alliances, the German Peasants' War showed how explosive religious ideas could be when applied to social grievances—and how brutally elites responded.",Twelve Articles of the Peasants; Thomas Müntzer (radical reformer); Luther's tract against the peasants,"Although Luther preached 'Christian freedom,' he explicitly rejected its application to social equality—revealing that the Reformation was a theological movement that deliberately reinforced political hierarchy","Students often skip the Peasants' War—it's crucial because it shows that Luther CHOSE to ally with princes over peasants, shaping Protestantism as a conservative political force"
Calvin's Institutes of the Christian Religion,1536,2,Switzerland; France; Europe-wide,2,2,2,3,3,1,2,R,I,"Before Calvinism spread across Europe, Luther had already broken with Rome—but Calvin gave Protestantism the systematic theology and international framework it needed to become a permanent alternative to Catholicism.",Geneva consistory; Huguenots in France; Max Weber's Protestant Ethic thesis,"Although Calvin preached predestination (God decides who's saved), Calvinist communities paradoxically worked harder than anyone—as if trying to prove they were among the elect","Students often reduce Calvinism to 'predestination' and stop there—the AP cares more about its international spread, social discipline, and political implications (resistance theory)"
Act of Supremacy,1534,2,England,1,2,3,3,1,0,3,P,E,"Before England became Protestant, Henry VIII broke with Rome for personal and political reasons—needing an annulment the pope couldn't grant because the Habsburg emperor controlled Rome.",Catherine of Aragon divorce crisis; Thomas More's execution; Dissolution of the Monasteries,"Although the Act of Supremacy created the Church of England, Henry VIII actually executed Protestants AND Catholics—he wanted obedience to royal supremacy, not theological reform",Students often say 'Henry VIII became Protestant'—he didn't. He stayed theologically Catholic but politically independent from Rome. The actual Protestant shift came later.
French Wars of Religion,1562-1598,2,France,1,2,3,3,1,0,2,P,R,"Before the Edict of Nantes established religious toleration, France endured 36 years of religious civil war that killed hundreds of thousands and nearly destroyed the monarchy.",Catherine de Medici; Henry of Navarre; Politique faction,"Although the wars were framed as religious, many participants were 'politiques' who cared more about political stability than theology—showing that religion was often a mask for political ambition",Students often treat the French Wars of Religion as just 'Catholics vs. Protestants'—miss the complex three-way political competition and foreign intervention
St. Bartholomew's Day Massacre,1572,2,France,1,3,3,3,1,0,1,P,R,"Before the Edict of Nantes offered toleration, the St. Bartholomew's Day Massacre had demonstrated how devastating religious hatred could be—thousands killed in a single night.",Catherine de Medici's role; Pope Gregory XIII's celebration; Montaigne's horror at the violence,"Although the massacre was driven by religious hatred, it was triggered by political calculation—Catherine de Medici feared Huguenot political influence more than their theology",Students often describe the massacre as spontaneous mob violence—miss that it was likely planned at the highest levels of the French court
Edict of Nantes,1598,2,France,1,2,3,3,1,0,1,P,R,"Before Enlightenment thinkers argued for toleration philosophically, the Edict of Nantes had already established it pragmatically—born from war exhaustion, not philosophical conviction.",Henry IV's conversion; Politique faction; Revocation by Louis XIV 1685,"Although the Edict of Nantes is celebrated as toleration, it was actually a pragmatic compromise that both sides disliked—and Louis XIV revoked it less than a century later","Students often present the Edict of Nantes as permanent progress toward toleration—miss that Louis XIV revoked it in 1685, showing toleration was fragile"
Peace of Augsburg,1555,2,Holy Roman Empire,2,1,3,3,1,0,1,P,R,"Before the Thirty Years' War reopened religious conflict, the Peace of Augsburg had established the principle that rulers choose religion—but excluded Calvinism, creating a time bomb.","Cuius regio, eius religio; Ecclesiastical Reservation; Charles V's abdication","Although the Peace of Augsburg ended immediate conflict, its exclusion of Calvinism and the ambiguous ecclesiastical reservation clause created the unresolved tensions that erupted in the Thirty Years' War","Students often say Augsburg established 'religious freedom'—it did NOT. Rulers chose religion; individual subjects had no choice. Also, Calvinism was excluded."
Thirty Years' War,1618-1648,2,Holy Roman Empire; Europe-wide,3,3,3,2,1,1,3,P,S,"Before the modern state system emerged at Westphalia, the Thirty Years' War had demonstrated that religious conflicts could devastate an entire region—killing a third of Germany's people.",Defenestration of Prague; Gustavus Adolphus of Sweden; Cardinal Richelieu's intervention,"Although the Thirty Years' War began as a religious conflict, Catholic France's alliance with Protestant Sweden against the Catholic Habsburgs proves that by the 1630s, state interest had completely replaced religion as the driving force","Students often describe the entire war as a religious conflict—miss that it evolved into a secular power struggle, which is WHY Catholic France fought alongside Protestants"
Peace of Westphalia,1648,2,Holy Roman Empire; Europe-wide,2,1,3,2,2,0,1,P,R,"Before the modern state system governed international relations, the Peace of Westphalia established that sovereign states—not empires or popes—were the fundamental units of European politics.",Dutch independence recognized; Swiss independence recognized; HRE effectively decentralized,"Although Westphalia is celebrated as the foundation of state sovereignty, the actual treaties were messy compromises—the 'Westphalian system' as we understand it was partly constructed by later historians",Students often memorize 'Westphalia = sovereignty' without explaining what that MEANS—state independence from both the emperor and the pope in conducting internal and external affairs
Council of Trent,1545-1563,2,Italian Peninsula; Europe-wide,1,2,2,3,3,1,1,R,I,"Before the Counter-Reformation revitalized Catholicism, the Council of Trent spent 18 years defining exactly what Catholics believed and why they were different from Protestants.",Index of Forbidden Books; Seminary system; Jesuit missions,"Although Trent is often called 'Counter-Reformation' (opposing Protestantism), it was also genuine internal reform—better clergy training, clearer doctrine, and reduced corruption improved Catholicism on its own terms",Students often reduce Trent to 'anti-Protestant'—miss that it was also genuine Catholic self-improvement that made the church more effective and appealing
Jesuits Founded (Society of Jesus),1540,2,Spain; Europe-wide; Global,2,2,2,3,3,0,1,R,I,"Before modern global education networks existed, the Jesuits had already built a worldwide system of schools that trained Catholic elites from Europe to Japan.",Ignatius of Loyola's Spiritual Exercises; Jesuit missions in China (Matteo Ricci); Ratio Studiorum,"Although the Jesuits were agents of the Counter-Reformation, their commitment to education and science sometimes put them at odds with other Catholic authorities—they were reformers as much as defenders","Students often reduce the Counter-Reformation to the Inquisition—the Jesuits show that Catholicism's most effective tool was education, not persecution"
Dutch Revolt,1568-1648,2,Netherlands; Spain,2,2,3,2,1,1,3,P,E,"Before the Dutch Golden Age dazzled Europe, the Dutch had to fight an 80-year war of independence against Spain—driven by resentment of Spanish taxation, religious persecution, and political control.",William of Orange (William the Silent); Duke of Alba's Council of Blood; Union of Utrecht 1579,"Although the Dutch Revolt is often framed as Protestants vs. Catholics, many Catholics in the Netherlands also opposed Spanish rule—showing that political and economic grievances mattered as much as religion",Students often forget the Dutch Revolt lasted 80 YEARS (1568-1648) and was only formally resolved at the Peace of Westphalia—it wasn't a quick revolution
Reign of Louis XIV,1643-1715,3,France,2,3,3,2,1,1,3,P,S,"Before the Enlightenment challenged absolute monarchy, Louis XIV had perfected it—centralizing all power, taming the nobility, and making France the model for European rulers.",Versailles palace; Colbert's mercantilism; War of Spanish Succession,"Although Louis XIV achieved domestic absolutism, his constant wars ultimately weakened France—the cost of military hegemony undermined the economic foundations of royal power",Students often portray Louis XIV as all-powerful from day one—miss that the Fronde (noble rebellion when he was a child) traumatized him and MOTIVATED his obsessive centralization
Revocation of the Edict of Nantes,1685,3,France,2,2,3,3,1,0,3,P,R,"Before the Enlightenment made toleration a philosophical ideal, Louis XIV's revocation of the Edict of Nantes demonstrated the human and economic cost of religious persecution—driving out France's most productive minority.",Huguenot diaspora; Pierre Bayle's arguments for toleration; Economic decline in Huguenot regions,"Although Louis XIV intended the revocation to strengthen France through religious unity, it actually weakened France by driving out skilled workers while enriching Protestant rivals who welcomed them","Students often mention the revocation only as a religious event—miss the ECONOMIC argument: France exported 200,000 skilled workers to its competitors, which is economic self-harm"
Dutch Golden Age,1600-1700,3,Netherlands,2,2,2,2,2,2,3,E,P,"Before England became the dominant commercial power, the Dutch Republic had already demonstrated that religious toleration, commercial freedom, and republican government could make a tiny country the richest in Europe.",Dutch East India Company (VOC); Amsterdam Stock Exchange; Tulip mania,"Although the Dutch Republic championed toleration and commerce, its wealth depended partly on colonial exploitation—the VOC's spice trade involved violent monopoly enforcement in Southeast Asia",Students often forget the Dutch Golden Age when comparing absolutism and constitutionalism—the Netherlands is AS important as England for the constitutionalism side of the argument
English Civil War,1642-1651,3,England,1,2,3,2,2,1,2,P,R,"Before the Glorious Revolution established constitutional monarchy, the English Civil War had already killed a king and briefly abolished the monarchy—proving that parliamentary sovereignty was a real possibility.",Ship Money tax; Oliver Cromwell; Execution of Charles I 1649,"Although the English Civil War established the precedent that monarchs could be held accountable, the actual result was Cromwell's military dictatorship—showing that overthrowing a king doesn't automatically produce freedom",Students often jump from Charles I's execution straight to the Glorious Revolution—miss that Cromwell's Commonwealth and the Restoration happened in between
Glorious Revolution,1688-1689,3,England; Netherlands,1,1,3,2,2,0,1,P,R,"Before Enlightenment thinkers theorized about limited government, the Glorious Revolution had already implemented it—creating a constitutional monarchy where Parliament was sovereign.",English Bill of Rights 1689; Locke's Two Treatises; Toleration Act 1689,"Although the Glorious Revolution is celebrated as a triumph of liberty, it excluded Catholics, women, and most of the population from political participation—'constitutional monarchy' meant rule by Protestant landed elites, not democracy","Students often call the Glorious Revolution 'democratic'—it wasn't. It transferred power from the king to Parliament, which represented wealthy Protestant men. Democracy came much later."
Peter the Great,1682-1725,3,Russia,3,2,3,1,1,2,2,P,G,"Before Catherine the Great expanded Russian influence, Peter the Great had already forced Russia into the European state system—building a navy, a new capital, and an army modeled on Western powers.",St. Petersburg construction; Great Northern War vs. Sweden; Table of Ranks,"Although Peter westernized Russia's elite culture and military, he strengthened serfdom for the peasant majority—modernization at the top coexisted with increased oppression at the bottom",Students often say Peter 'modernized Russia'—miss that modernization was skin-deep for most Russians; he westernized the elite while tightening serfdom for 90% of the population
Catherine the Great,1762-1796,3,Russia,3,2,3,0,2,1,2,P,G,"Before the French Revolution showed that Enlightenment ideas could overthrow a monarchy, Catherine the Great had already demonstrated the alternative—enlightened despots who adopted the language of reform while strengthening autocracy.",Pugachev Rebellion; Partitions of Poland; Charter of the Nobility,"Although Catherine corresponded with Voltaire and Diderot about reform, the Pugachev Rebellion convinced her that loosening control was dangerous—showing that Enlightenment ideals collapsed when they threatened elite power",Students often take 'enlightened despot' at face value—the AP wants you to argue that Catherine USED Enlightenment language for legitimacy while governing as a traditional autocrat
Mercantilism,1600-1800,3,Europe-wide,2,1,3,0,2,1,3,E,P,"Before Adam Smith argued for free markets, European states practiced mercantilism—the belief that national wealth came from hoarding gold, controlling trade, and exploiting colonies.",Colbert's policies in France; English Navigation Acts; Adam Smith's critique,"Although mercantilism aimed to enrich the state, its protectionist policies often stifled innovation and competition—Adam Smith later argued that free trade would create more wealth than government regulation","Students often describe mercantilism as just 'gold hoarding'—it was a comprehensive system of state economic management including tariffs, monopolies, colonies, and manufacturing promotion"
Scientific Revolution,1543-1700,4,Europe-wide,1,1,1,2,3,2,0,I,T,"Before the Enlightenment applied reason to society and politics, the Scientific Revolution had already demonstrated that observation and experiment could overthrow centuries of accepted authority.",Copernicus's heliocentric model; Bacon's empiricism; Descartes's rationalism,"Although the Scientific Revolution is often presented as science defeating religion, most scientists were deeply religious—Newton spent more time on theology than physics, and the 'conflict' narrative is largely a 19th-century invention","Students often list discoveries (telescope, gravity) without explaining the METHODOLOGICAL revolution—the AP cares about HOW thinking changed (empiricism, experimentation), not just WHAT was discovered"
Galileo,1610-1633,4,Italian Peninsula,1,1,2,3,3,3,0,I,T,"Before Newton unified physics and astronomy, Galileo had already shown through his telescope that Copernicus was right—and been condemned by the Church for saying so.",Galileo's Dialogue; Moons of Jupiter; Church's Index of Forbidden Books,"Although the Galileo affair is iconic as 'science vs. religion,' Galileo was a devout Catholic who thought heliocentrism was compatible with faith—the conflict was as much about institutional authority as theology","Students often say 'the Church rejected science'—actually, the Church had supported astronomy for centuries. The issue was Galileo's direct challenge to official doctrine and his antagonistic approach"
Newton's Principia Mathematica,1687,4,England,0,1,1,1,3,1,0,I,,"Before the Enlightenment applied reason to government and society, Newton's Principia had demonstrated that the entire physical universe obeyed rational mathematical laws—suggesting that rational laws might govern human society too.",Universal gravitation; Three laws of motion; Royal Society,"Although Newton is celebrated as a rationalist pioneer, he spent more time on alchemy and biblical prophecy than physics—his personal beliefs were far more mystical than the 'Newtonian worldview' he inspired","Students often cite 'Newton discovered gravity' (apple story)—the AP wants you to explain that he UNIFIED terrestrial and celestial physics into mathematical laws, which is what made it revolutionary"
The Enlightenment,1685-1800,4,France; Europe-wide,1,2,3,2,3,1,2,I,P,"Before the French Revolution attempted to rebuild society on rational principles, Enlightenment thinkers had spent a century arguing that reason, not tradition, should govern human affairs.",Diderot's Encyclopédie; Montesquieu's Spirit of the Laws; Beccaria's On Crimes and Punishments,"Although the Enlightenment championed universal reason and liberty, most philosophes were elites who didn't extend their principles to women, non-Europeans, or the poor—'universal' was selective","Students often treat the Enlightenment as anti-religious—most philosophes were deists (believed in God through reason), not atheists. They opposed organized religion's power, not belief itself"
Locke's Two Treatises of Government,1690,4,England,0,1,3,1,3,0,1,P,I,"Before the French Revolution declared the Rights of Man, Locke had already argued that governments exist only by consent of the governed—and that people have the right to rebel against tyranny.",Hobbes's Leviathan (contrast); American Declaration of Independence; Glorious Revolution,"Although Locke championed 'natural rights,' his version excluded women, the propertyless, and non-Christians—showing that even revolutionary ideas had conservative limits","Students often say 'Locke influenced the Glorious Revolution'—actually, he published AFTER it and used it as justification. The influence flowed the other direction for the American and French Revolutions"
Rousseau's Social Contract,1762,4,France; Switzerland,0,2,3,1,3,0,1,P,I,"Before the French Revolution's radical phase invoked 'the general will' to justify the Terror, Rousseau had already argued that the people's collective will was the only legitimate source of authority—even if individuals had to be 'forced to be free.'",Discourse on Inequality; Émile (education treatise); Jacobin ideology,"Although Rousseau championed popular sovereignty, his concept of 'forcing people to be free' contained the seeds of authoritarianism—Robespierre used Rousseau to justify the Terror","Students often lump Locke and Rousseau together as 'Enlightenment thinkers'—the AP wants you to contrast them: Locke = individual rights, Rousseau = general will. Very different political implications."
Adam Smith's Wealth of Nations,1776,4,Britain,0,2,2,0,3,0,3,I,E,"Before the Industrial Revolution applied free market principles at scale, Adam Smith had already demolished mercantilism intellectually—arguing that competition, not regulation, creates national wealth.",Invisible hand metaphor; Division of labor (pin factory); Physiocrats (French predecessors),"Although Smith championed free markets, he also warned about the dangers of monopolies and the need for public goods like education—he wasn't the pure laissez-faire ideologue that later followers claimed","Students often reduce Smith to 'free markets good, government bad'—Smith actually supported public education, regulation of banking, and progressive taxation. He was more nuanced than his fans."
Salons and the Public Sphere,1700-1800,4,France; Europe-wide,1,3,2,1,3,2,1,S,I,"Before the French Revolution mobilized mass political participation, the Enlightenment had already created a 'public sphere' of salons, coffeehouses, and print culture where ideas could be debated outside royal and church control.",Madame Geoffrin's salon; Diderot's Encyclopédie; Habermas's concept of the public sphere,"Although salons are celebrated as spaces of intellectual freedom, they were hosted by wealthy women for elite guests—the 'public sphere' was never truly public, just a wider elite circle than the royal court",Students often skip salons as trivial social events—the AP specifically tests them as the MECHANISM by which Enlightenment ideas spread and the role of WOMEN in the Enlightenment
Voltaire,1700-1800,4,France; Europe-wide,1,2,2,3,3,0,1,I,R,"Before the French Revolution attacked the church, Voltaire had spent decades demolishing its intellectual credibility—his satirical attacks on superstition and intolerance shaped an entire generation's thinking.",Candide (critique of optimism); Calas affair (religious persecution case); Letters on the English,"Although Voltaire championed toleration, he was dismissive of Judaism, condescending toward non-European cultures, and preferred enlightened despotism to democracy—his liberalism had clear limits",Students often quote 'I disapprove of what you say but will defend to the death your right to say it'—Voltaire never said this. It was written by his biographer. Use actual Voltaire quotes on the exam.
French Revolution Begins,1789,5,France,1,3,3,1,2,0,3,P,E,"Before the French Revolution remade European politics, a century of Enlightenment thought had challenged traditional authority while decades of fiscal crisis had bankrupted the French monarchy.",Tennis Court Oath; Great Fear; Cahiers de doléances,"Although the Revolution was inspired by Enlightenment ideals of liberty and equality, its immediate trigger was a fiscal crisis—showing that ideas need material conditions to become revolutionary","Students often credit the Revolution entirely to Enlightenment ideas—miss that the immediate cause was a FISCAL CRISIS. The monarchy was literally bankrupt. Ideas mattered, but empty treasuries and expensive bread lit the fuse."
Declaration of the Rights of Man and Citizen,1789,5,France,0,2,3,1,3,0,1,P,I,"Before the Revolution radicalized into the Terror, the Declaration of the Rights of Man had established a moderate, Enlightenment-based vision of constitutional government, natural rights, and equality before the law.",Olympe de Gouges's Declaration of the Rights of Woman; American Declaration of Independence; Lafayette's role in drafting,"Although the Declaration proclaimed universal rights, it excluded women, enslaved people, and the propertyless—Olympe de Gouges's Declaration of the Rights of Woman (1791) exposed this hypocrisy and she was executed for it",Students often treat the Declaration as establishing democracy—it actually set up a constitutional monarchy with limited suffrage. 'Equality' and 'democracy' were not the same thing in 1789.
