front,back,apUnit,geoSpriteCategory,reasoningProcess,difficulty,mustKnow
"What was French absolutism under Louis XIV?","Louis XIV (r. 1643-1715) centralized all French royal power, built Versailles to control the nobility, pursued mercantilist economic policy under Colbert, revoked the Edict of Nantes, and waged expensive wars. ""L'état, c'est moi"" -- the state is me. He literally built a palace so fancy that nobles couldn't afford to compete.",3,P,recall,easy,yes
"What was the Glorious Revolution (1688-1689)?","The bloodless overthrow of James II and his replacement by William and Mary, who accepted the English Bill of Rights. It established parliamentary sovereignty and constitutional monarchy in England. ""Glorious"" because apparently no one bled -- at least no one English.",3,P,recall,easy,yes
"What was mercantilism?","An economic theory holding that national wealth is measured by gold/silver reserves, and that the state should control trade to maintain a favorable balance. Colbert perfected it in France. Think of it as the economic equivalent of hoarding -- but for entire countries.",3,E,recall,medium,yes
"What was Peter the Great's westernization of Russia?","Peter (r. 1682-1725) modernized Russia's military, built St. Petersburg as a ""window on the West,"" forced Western dress and customs on the nobility, and tightened serfdom to fund reforms. He literally taxed beards -- that's how committed he was to Westernization.",3,P,recall,medium,yes
"What was the Dutch Golden Age?","The 17th-century period when the Dutch Republic became Europe's wealthiest state through commercial dominance, religious toleration, and republican government. The VOC was the most valuable company in history. A tiny swamp nation became a global superpower through trade and tolerance.",3,E,recall,medium,yes
"What was the Scientific Revolution?","The transformation in European understanding of the natural world (c. 1543-1687) from Aristotelian/Ptolemaic tradition to empirical, mathematical science. Key figures: Copernicus, Galileo, Newton. It proved that watching the sky carefully beats reading Aristotle repeatedly.",4,I,recall,easy,yes
"Who was Isaac Newton and what did he contribute?","Newton published Principia Mathematica (1687), establishing the laws of universal gravitation and motion. He unified terrestrial and celestial physics into one mathematical framework. An apple supposedly fell on his head, and he responded by explaining the entire universe.",4,I,recall,easy,yes
"What did John Locke argue in Two Treatises of Government (1690)?","Locke argued that government exists by the consent of the governed to protect natural rights (life, liberty, property), and that people have the right to rebel against tyrannical government. He's basically the philosopher the American Revolution put on speed dial.",4,I,recall,easy,yes
"What was the Enlightenment?","An 18th-century intellectual movement that applied reason, empiricism, and skepticism to politics, society, and religion. Key thinkers: Voltaire, Montesquieu, Rousseau, Diderot. They believed reason could fix everything -- spoiler: the French Revolution tested that theory hard.",4,I,recall,easy,yes
"What did Adam Smith argue in The Wealth of Nations (1776)?","Smith argued that free markets, guided by the ""invisible hand"" of supply and demand, create more wealth than mercantilist state control. He also supported public education and bank regulation -- the free-market fundamentalists always forget those parts.",4,E,recall,medium,yes
"How did Rousseau's political philosophy differ from Locke's?","Locke emphasized individual natural rights and limited government. Rousseau emphasized the ""general will"" and popular sovereignty -- the community's collective interest supersedes individual preference. Locke protects you from the state; Rousseau might force you to be free.",4,I,recall,hard,yes
"What was enlightened despotism?","Rulers like Frederick the Great, Catherine the Great, and Joseph II who adopted Enlightenment language and reforms (religious toleration, legal reform, education) while maintaining autocratic power. Basically: ""I read Voltaire, but I'm still the boss.""",4,P,recall,medium,yes
"What were the causes of the French Revolution?","Three reinforcing causes: (1) fiscal crisis from wars and debt, (2) Enlightenment ideas challenging the legitimacy of the Old Regime, and (3) social inequality among the Three Estates. The fuse was economic, but the powder was ideological.",5,P,recall,easy,yes
"What was the Tennis Court Oath (1789)?","Members of the Third Estate, locked out of their meeting hall, gathered at a tennis court and swore not to disband until they had written a constitution. It was the moment the Revolution stopped being a protest and became a political revolution.",5,P,recall,easy,yes
"What was the Reign of Terror (1792-1794)?","The radical phase of the French Revolution under the Committee of Public Safety (led by Robespierre), during which thousands were executed by guillotine in the name of defending the Revolution. Robespierre literally argued that terror is virtue. The Revolution ate its own children.",5,P,recall,easy,yes
"What was the Napoleonic Code?","Napoleon's comprehensive legal code (1804) that established legal equality, abolished feudal privileges, secularized law, and protected property rights. It permanently shaped European law -- even countries that hated Napoleon kept his legal system.",5,P,recall,medium,yes
"What did the Congress of Vienna (1814-1815) establish?","Restored conservative monarchies, redrew European borders to create a balance of power, and established the Concert of Europe to prevent future revolution and war. Led by Metternich, it was basically a group project in rolling back 25 years of revolution.",5,P,recall,easy,yes
"What was the Continental System?","Napoleon's blockade (1806-1814) attempting to isolate Britain from European trade. It failed because European economies depended on British goods, and smuggling was rampant. Napoleon tried to cancel Britain's Amazon Prime, but everyone kept ordering anyway.",5,E,recall,medium,no
"What was the Haitian Revolution?","The successful slave revolt in Saint-Domingue (1791-1804) that created Haiti, the first independent Black republic. It exposed the contradiction between French revolutionary ideals and colonial slavery. Liberty, equality, fraternity -- but only if you're French and white? Haiti said no.",5,S,recall,medium,yes
"What were Britain's advantages in early industrialization?","Coal and iron deposits, capital from colonial trade, navigable rivers and canals, a mobile labor force (from enclosure), stable government, and a culture of entrepreneurship. Britain basically rolled a natural 20 on every prerequisite for industrialization.",6,E,recall,easy,yes
"What was the factory system?","The concentration of workers in centralized facilities with machine-powered production, replacing artisanal workshops. Workers lost control over their pace, tools, and product. From ""I make shoes"" to ""I operate Machine #7 for 14 hours a day.""",6,T,recall,easy,yes
"Who were Marx and Engels and what did the Communist Manifesto (1848) argue?","Karl Marx and Friedrich Engels argued that history is driven by class struggle, that capitalism will collapse under its own contradictions, and that the proletariat will seize the means of production. ""Workers of the world, unite!"" -- the 19th century's most viral tweet.",6,I,recall,easy,yes
"What was the Second Industrial Revolution (c. 1870-1914)?","A new wave of industrialization driven by steel, chemicals, electricity, and the internal combustion engine. It created modern consumer society, corporate capitalism, and the technologies that would make World War I so devastating.",6,T,recall,medium,yes
"What were Factory Acts?","British legislation (starting in the 1830s-1840s) regulating child labor, working hours, and factory conditions. They represented the first major government intervention in industrial capitalism. The government finally decided that maybe 6-year-olds shouldn't work in coal mines.",6,P,recall,medium,no
"What was urbanization's impact during industrialization?","Massive migration from countryside to cities created overcrowding, disease epidemics (cholera, typhus), class-segregated neighborhoods, and new social problems -- but also new cultural institutions, political organizations, and eventually public health reform.",6,S,recall,medium,yes
"What were the Revolutions of 1848?","Widespread liberal and nationalist uprisings across Europe (France, German states, Habsburg Empire, Italian states) that demanded constitutions, national self-determination, and expanded suffrage. They mostly failed in their immediate goals but ended serfdom in the Habsburg Empire and proved popular demands couldn't be ignored forever.",7,P,recall,easy,yes
"How did Bismarck unify Germany?","Through ""blood and iron"" -- Realpolitik and three wars (Danish War 1864, Austro-Prussian War 1866, Franco-Prussian War 1870-71). He unified Germany from above through Prussian military power, not through liberal revolution. Bismarck basically speedran nation-building with a cheat code called ""the Prussian army.""",7,P,recall,easy,yes
"What was the Scramble for Africa?","The rapid European colonization of Africa (1880s-1900s) formalized at the Berlin Conference (1884-85). Driven by industrial demand for raw materials, strategic competition, and ideologies like Social Darwinism and the ""civilizing mission."" Europeans carved up an entire continent at a conference where no Africans were invited.",7,P,recall,easy,yes
"What was the Dreyfus Affair?","The wrongful conviction of Alfred Dreyfus, a French Jewish military officer, for treason (1894). The affair exposed deep antisemitism in French society and split France into Dreyfusards (republicans, liberals) and anti-Dreyfusards (nationalists, Catholics, army). It proved that nationalism and antisemitism were potent political forces even in the republic of ""liberty, equality, fraternity.""",7,S,recall,hard,yes
"What were the alliance systems before WWI?","The Triple Alliance (Germany, Austria-Hungary, Italy) vs. the Triple Entente (France, Russia, Britain). These alliances turned a regional crisis (Archduke Franz Ferdinand's assassination) into a continental war. Europe built a Rube Goldberg machine of mutual defense pacts and then was shocked when it activated.",7,P,recall,medium,yes
"What was Italian unification and who were its key figures?","Mazzini (nationalist visionary), Cavour (Piedmontese diplomat who engineered French support), and Garibaldi (popular military leader). Italy unified through a combination of top-down diplomacy and bottom-up popular revolt (1859-1871). Three guys with very different plans somehow built one country.",7,P,recall,medium,yes
"What caused World War I?","Militarism, alliances, imperialism, and nationalism (MAIN) combined with the specific trigger of Archduke Franz Ferdinand's assassination (1914). No single cause was sufficient -- all four had to work together to turn a Balkan crisis into a world war.",8,P,recall,easy,yes
"What was trench warfare?","The dominant military strategy on the Western Front of WWI: opposing armies dug extensive trench systems, creating a stalemate where massive offensives gained almost no ground at enormous human cost. The Battle of the Somme (1916) killed over 1 million men for about 6 miles of territory.",8,T,recall,easy,yes
"What was the Russian Revolution of 1917?","Two revolutions: the February Revolution overthrew the Tsar and established a provisional government; the October Revolution (led by Lenin and the Bolsheviks) overthrew that government and established communist rule. Russia went from absolute monarchy to communist dictatorship in eight months.",8,P,recall,easy,yes
"What was the Treaty of Versailles (1919)?","The peace treaty ending WWI that imposed war guilt, reparations, territorial losses, and military restrictions on Germany. It satisfied nobody: too harsh for Germany, too lenient for France. The diplomatic equivalent of an unsaved group project that everyone regrets.",8,P,recall,easy,yes
"What was the Great Depression's impact on European politics?","The 1929 crash and subsequent global depression discredited liberal democracy and capitalism, radicalized populations, and empowered extremist parties. In Germany, unemployment reached 30%, directly fueling Nazi electoral gains.",8,E,recall,medium,yes
"What was the Holocaust?","The systematic, state-sponsored genocide of six million European Jews by Nazi Germany (1941-1945), along with millions of Roma, disabled people, political opponents, and others. It was industrial-scale murder enabled by modern bureaucracy, technology, and racial ideology.",8,S,recall,easy,yes
"What was appeasement?","The British and French policy of making concessions to Hitler (notably at Munich, 1938) to avoid war. It failed because Hitler's ambitions were unlimited. Chamberlain returned from Munich promising ""peace for our time"" -- he was off by about 11 months.",8,P,recall,medium,yes
"What caused the rise of Nazism in Germany?","A chain of causes: Versailles humiliation, Weimar instability, hyperinflation (1923), the Great Depression (1929), conservative elites who thought they could control Hitler, and Nazi propaganda exploiting economic despair and nationalist resentment.",8,P,recall,medium,yes
"What was the Marshall Plan?","The U.S. economic aid program (1948-1952) that provided $13 billion to rebuild Western European economies after WWII. It was both genuinely humanitarian and strategically anti-communist -- America bought allies with reconstruction dollars.",9,E,recall,easy,yes
"What was the Iron Curtain?","Winston Churchill's term (1946) for the political and ideological division of Europe between Western liberal democracies and Soviet-controlled communist states. The Berlin Wall (1961-1989) was its most literal, concrete manifestation.",9,G,recall,easy,yes
"What was the Berlin Wall and when did it fall?","Built in 1961 to prevent East Germans from fleeing to West Berlin; fell on November 9, 1989, when East German authorities accidentally announced open borders. It was the Cold War's most powerful symbol: freedom on one side, repression on the other, separated by concrete and barbed wire.",9,P,recall,easy,yes
"What was the European Union's development path?","ECSC (1951) -> EEC/Treaty of Rome (1957) -> Single European Act (1986) -> Maastricht Treaty/EU (1992) -> Euro currency (1999/2002) -> enlargement to Eastern Europe. The EU turned ""never again"" into a supranational institution.",9,P,recall,medium,yes
"What was the Solidarity movement?","A Polish trade union and social movement (founded 1980) led by Lech Walesa that challenged communist rule. It was the first independent labor union in a Soviet-bloc country and helped trigger the collapse of communism in Eastern Europe.",9,P,recall,medium,yes
"What caused the collapse of the Soviet Union?","Economic stagnation, the failure of central planning, Gorbachev's reforms (glasnost and perestroika) that unleashed forces he couldn't control, Eastern European dissent (Solidarity, Charter 77), and the structural contradictions of trying to modernize a system built on repression.",9,P,recall,medium,yes
"What was decolonization?","The process (1945-1970s) by which European colonial empires dissolved and former colonies gained independence, driven by WWII's weakening of European powers, Cold War superpower pressure, and independence movements inspired by Enlightenment ideals turned against the colonizers.",9,P,recall,medium,yes
"Which Geo-SPRITE lens is strongest for analyzing the Age of Exploration?","Economic (E) is dominant. The Commercial Revolution, Atlantic trade, the Columbian Exchange, and the price revolution restructured European society from the ground up. Geography (G) is a strong secondary -- the Mediterranean-to-Atlantic shift determined which states gained power.",1,E,application,easy,yes
"Which Geo-SPRITE lens is strongest for analyzing the Protestant Reformation?","Religious (R) is dominant -- theology drove the initial break and shaped confessional identities. Political (P) is the essential secondary -- every religious question became a political question about who controls the church and who decides subjects' religion.",2,R,application,easy,yes
"Which Geo-SPRITE lens is strongest for analyzing absolutism vs. constitutionalism?","Political (P) is dominant -- the central question is how states organized power. Economic (E) is the key secondary: mercantilism funded absolutism; commercial capitalism empowered the Dutch and English merchant classes who demanded representation.",3,P,application,easy,yes
"Which Geo-SPRITE lens is strongest for analyzing the Scientific Revolution and Enlightenment?","Intellectual (I) is dominant -- the defining feature is the transformation from tradition and revelation to reason and empiricism. Political (P) is the key secondary, since Enlightenment philosophy provided ammunition for reform and revolution.",4,I,application,easy,yes
"Which Geo-SPRITE lens is strongest for analyzing the French Revolution?","Political (P) is dominant -- the destruction and reconstruction of political systems is the central theme. Social (S) is the key secondary -- the Revolution was driven by class conflict (Third Estate vs. privileged orders).",5,P,application,easy,yes
"Which Geo-SPRITE lens is strongest for analyzing the Industrial Revolution?","Economic (E) is dominant -- industrialization was fundamentally an economic transformation from agrarian/artisanal production to factory capitalism. Social (S) is essential secondary: new classes (bourgeoisie, proletariat), new living conditions, new exploitation.",6,E,application,easy,yes
"Which Geo-SPRITE lens is strongest for analyzing 19th-century nationalism?","Political (P) is dominant -- revolutions, unification movements, suffrage expansion, and mass politics defined the era. Intellectual (I) is the key secondary: competing ideologies (conservatism, liberalism, nationalism, socialism) provided frameworks for political action.",7,P,application,easy,yes
"Which Geo-SPRITE lens is strongest for analyzing the World Wars?","Political (P) is dominant -- the destruction and reconstruction of political systems. Technology (T) is a critical secondary -- total war was enabled by industrial technology (machine guns, tanks, aircraft, nuclear weapons). Economic (E) is also essential for explaining radicalization and recovery.",8,P,application,medium,yes
"Which Geo-SPRITE lens is strongest for analyzing the Cold War?","Political (P) is dominant -- a contest between two political systems. Economic (E) is the key secondary: Marshall Plan vs. Comecon, market economies vs. planned economies, and economic integration as Europe's path forward.",9,P,application,easy,yes
"How would you use the printing press as evidence in a causation essay about the Reformation?","The printing press is a Technology (T) lens evidence piece that shows how technological infrastructure enabled religious and intellectual transformation. It didn't CAUSE the Reformation, but it was a necessary precondition -- without it, Luther's 95 Theses remain a local academic dispute. Use it to show T -> R -> P causation.",2,T,application,medium,yes
"How would you use Napoleon's Napoleonic Code as evidence in a CCOT essay?","The Napoleonic Code demonstrates the continuity of revolutionary legal principles (legal equality, end of feudal privilege, secular law) even after the Revolution's political ideals collapsed into authoritarianism. Use it to show that the Code represents genuine change (from feudal law to rational law) persisting through political discontinuity.",5,P,application,hard,yes
"How would you use the Haitian Revolution as evidence in an essay about Enlightenment ideals?","The Haitian Revolution is powerful ""complexity"" evidence: it shows enslaved people applying French revolutionary principles (liberty, equality) more consistently than the French themselves. Use it to argue that Enlightenment universalism contained contradictions that colonized peoples exploited to demand their own freedom.",5,I,application,hard,yes
"A prompt asks about the causes of WWI. Which Geo-SPRITE lenses would you foreground and which would you downplay?","Foreground: Political (P) for alliance systems and imperial rivalry; Intellectual (I) for nationalism and militarism; Economic (E) for industrial competition. Downplay: Religious (R) -- religion was essentially irrelevant to WWI's causes. Geography (G) matters for Balkans context but isn't dominant.",8,P,application,medium,yes
"How would you use Bismarck's welfare legislation as evidence in an essay about socialism?","Bismarck's welfare laws (1880s) show conservatism co-opting socialist demands to prevent revolution. This is powerful evidence for the argument that socialism's greatest impact was often indirect -- it forced its opponents to adopt welfare measures. Use this for complexity: the welfare state was built by a conservative, not a socialist.",7,P,application,hard,yes
"How would you use the Dutch Republic as evidence in an essay about absolutism?","The Dutch Republic (commercial success, religious toleration, republican government) is the best counter-example to the claim that absolutism was necessary for state power. Use it to add complexity: constitutionalism and toleration could produce wealth and stability, challenging the absolutist model.",3,E,application,medium,yes
"A prompt asks about the effects of industrialization. What's the most common Geo-SPRITE mistake students make?","Category dumping -- listing all seven lenses with superficial connections. Instead, foreground E (economic transformation), S (new class structure, urbanization), and T (specific innovations). Acknowledge what's weak: R (religion was largely irrelevant to industrialization's mechanics).",6,E,application,medium,yes
"How would you use the Treaty of Westphalia as evidence for a long essay about the development of the modern state system?","Westphalia established state sovereignty as the organizing principle of international relations. Use the Political (P) lens as primary evidence for the shift from religious to secular diplomacy. Add Geography (G) for the territorial basis of sovereignty. This is a mega-pattern piece connecting Units 2-3.",2,P,application,medium,yes
"How would you use salons and coffeehouses as evidence in an essay about the Enlightenment?","Salons and coffeehouses demonstrate the Social (S) infrastructure of Intellectual (I) change. They show that the Enlightenment wasn't just about great thinkers writing books -- it required a public sphere where ideas could circulate, be debated, and reach audiences beyond the university. Use them to connect I and S lenses.",4,S,application,medium,no
"How would you use the Scramble for Africa as evidence in an essay about nationalism?","The Scramble for Africa shows nationalism's evolution from a liberating force (1848) to an aggressive, exclusionary one (1880s-1914). Use Political (P) and Economic (E) lenses: imperial competition was driven by industrial demand for raw materials AND nationalist prestige. This demonstrates mega-pattern #26: nationalism as liberation to nationalism as aggression.",7,P,application,hard,yes
"How would you use Peter the Great's reforms as evidence in a comparison essay about absolutism?","Peter is the best example of absolutism's contradictions: he modernized Russia's elite culture and military (Westernization) while strengthening serfdom for the peasant majority. Use P (political centralization) and S (social divergence between elite and peasant) to show that ""modernization"" at the top coexisted with increased oppression at the bottom.",3,S,application,hard,yes
"An LEQ asks about the most significant cause of the French Revolution. How do you use Geo-SPRITE to structure your argument?","Thesis: The fiscal crisis (E) was the most significant immediate cause because it forced the calling of the Estates-General. Body 1: E lens -- France's debt from wars made reform unavoidable. Body 2: I lens -- Enlightenment ideas provided the vocabulary for challenging the Old Regime. Body 3: S lens for complexity -- class resentment (Third Estate) gave revolutionary ideas a mass base. Downplay G and T.",5,E,application,hard,yes
"A DBQ asks about European responses to industrialization. How would you categorize documents using Geo-SPRITE?","Sort documents by lens: government reports on factory conditions = P lens; worker testimony about hours/wages = S and E lenses; socialist pamphlets = I lens; descriptions of machinery = T lens. Use the framework to identify which lenses the documents cluster around, then find gaps -- a missing lens is often your outside evidence opportunity.",6,S,application,hard,yes
"How would you use the fall of the Berlin Wall as evidence in an essay about the Cold War's end?","The Wall's fall (1989) demonstrates the Geography (G) and Political (P) dimensions of the Cold War's end. It was both a literal and symbolic collapse of the Iron Curtain. Combine with Economic (E) -- East Germany's economic stagnation vs. West German prosperity made the Wall unsustainable. The Wall didn't just divide a city; it divided two economic systems.",9,G,application,medium,yes
"How would you use Mary Wollstonecraft's Vindication of the Rights of Woman as evidence in an Enlightenment essay?","Wollstonecraft exposes the Enlightenment's internal contradictions using the Intellectual (I) and Social (S) lenses. She turned Enlightenment universalism against its own practitioners: if reason is universal, excluding women is irrational. Use her to demonstrate complexity -- the Enlightenment's most radical implications came from those it excluded.",4,I,application,hard,no
"How would you use the Marshall Plan as evidence for a CCOT essay about European economic systems?","The Marshall Plan marks a turning point from national economies to transatlantic interdependence and eventual European integration. E lens: American capital rebuilt European economies. P lens: aid was conditional on cooperation, laying groundwork for the ECSC and EEC. Use it to show how post-WWII reconstruction fundamentally changed Europe's economic structure.",9,E,application,medium,yes
"Compare the Italian Renaissance and the Northern Renaissance using the Intellectual (I) lens.","Italian Renaissance: secular humanism, revival of classical art and philosophy, emphasis on individual achievement and worldly glory (Petrarch, Michelangelo). Northern Renaissance: Christian humanism, applied classical scholarship to religious texts, emphasized moral reform (Erasmus, Thomas More). Both valued classical learning, but Italians looked to pagan Rome while Northerners used humanism to reform Christianity.",1,I,comparison,medium,yes
"Compare Portuguese and Spanish exploration using the Geographic (G) and Economic (E) lenses.","Portugal built a trade-post empire along African and Asian coasts, focused on controlling existing trade routes (spices, gold). Spain built a conquest empire in the Americas, focused on territorial control and resource extraction (silver, sugar). Portugal wanted to redirect trade; Spain wanted to own land. Both were shaped by their Atlantic-facing geography.",1,G,comparison,medium,yes
"Compare Luther and Calvin using the Religious (R) and Political (P) lenses.","Luther: salvation by faith alone; allied with German princes; church subordinate to state. Calvin: predestination; built an international movement from Geneva; developed resistance theory justifying rebellion against ungodly rulers. Luther told princes to control the church; Calvin told believers to defy ungodly princes.",2,R,comparison,medium,yes
"Compare the Peace of Augsburg (1555) and the Peace of Westphalia (1648) using the Political (P) lens.","Augsburg: recognized only Lutheranism and Catholicism; rulers chose religion for their subjects; limited to the HRE. Westphalia: added Calvinism; weakened the HRE; established the principle of state sovereignty that became the basis of the modern international system. Augsburg was a patch; Westphalia was an operating system upgrade.",2,P,comparison,medium,yes
"Compare French absolutism (Louis XIV) and English constitutionalism (William and Mary) using the Political (P) lens.","Louis XIV: centralized all power in the crown; domesticated nobility at Versailles; no independent legislature. William and Mary: accepted the Bill of Rights; parliamentary sovereignty; power shared between crown and Parliament. Same century, same challenge (post-war stability), opposite solutions.",3,P,comparison,easy,yes
"Compare Western European serfdom (declining) and Eastern European serfdom (strengthening) in the early modern period using the Social (S) and Economic (E) lenses.","West: Black Death gave survivors bargaining power; commercial agriculture and urbanization offered alternatives; serfdom faded by 1500. East: nobility consolidated control over land and labor; grain exports to the West incentivized coerced labor; serfdom strengthened from 1500-1800. Same continent, opposite trajectories.",3,S,comparison,hard,yes
"Compare Locke and Hobbes using the Political (P) and Intellectual (I) lenses.","Both used social contract theory but reached opposite conclusions. Hobbes: humans are selfish; without absolute authority, life is ""nasty, brutish, and short""; absolutism is justified. Locke: humans have natural rights; government exists only by consent to protect those rights; rebellion against tyranny is justified. Same premise, opposite politics.",4,I,comparison,medium,yes
"Compare Locke and Rousseau using the Intellectual (I) lens.","Locke: individual natural rights (life, liberty, property); government protects individuals from each other; limited government. Rousseau: the general will of the community supersedes individual interests; true freedom comes from submission to the collective good; popular sovereignty. Locke protects you from the state; Rousseau might ""force you to be free.""",4,I,comparison,hard,yes
"Compare the moderate and radical phases of the French Revolution using the Political (P) and Social (S) lenses.","Moderate phase (1789-1792): constitutional monarchy, Declaration of Rights of Man, legal reform, led by bourgeois liberals. Radical phase (1792-1794): republic, execution of the king, the Terror, de-Christianization, led by Jacobins drawing support from urban sans-culottes. Same revolution, different classes driving it, wildly different outcomes.",5,P,comparison,medium,yes
"Compare Napoleon as a liberator and Napoleon as an authoritarian using the Political (P) lens.","Liberator: Napoleonic Code ended feudal privilege, established legal equality, secularized law across Europe. Authoritarian: crowned himself Emperor, censored the press, imposed French hegemony, created puppet states. He was both simultaneously -- the Code freed people from feudalism while his armies conquered them.",5,P,comparison,medium,yes
"Compare the American and French Revolutions using the Social (S) lens.","American Revolution: limited social change; preserved slavery; political power shifted within existing elites. French Revolution: radical social transformation; abolished feudalism and legal estates; attempted to rebuild society from scratch. America changed who governed; France tried to change what society was.",5,S,comparison,hard,yes
"Compare British and German industrialization using the Economic (E) and Political (P) lenses.","Britain: early (1760s+), coal-driven, laissez-faire, market-led, gradual. Germany: late (1850s+), state-directed, bank-financed, rapid, deliberately strategic. Britain stumbled into industrialization through market forces; Germany planned its way there through state policy. Different paths to the same destination.",6,E,comparison,medium,yes
"Compare Utopian socialism and Marxist socialism using the Intellectual (I) lens.","Utopian socialists (Owen, Fourier): built model communities to demonstrate a better society; believed change could come through example and persuasion. Marxists: argued that class struggle is the engine of history; only violent revolution can overthrow capitalism. Utopians built sandcastles; Marx said burn down the beach.",6,I,comparison,medium,yes
"Compare Italian unification (Cavour/Garibaldi) and German unification (Bismarck) using the Political (P) lens.","Italy: combination of Cavour's top-down diplomacy (allied with France) and Garibaldi's bottom-up popular revolt. Germany: entirely top-down through Bismarck's Realpolitik and three wars of unification using Prussian military power. Italy was a messy collaboration; Germany was a Prussian construction project.",7,P,comparison,medium,yes
"Compare liberal nationalism (1848) and aggressive nationalism (1870s-1914) using the Intellectual (I) lens.","1848 nationalism: liberal, sought self-determination and constitutions, allied with democracy. Late 19th-century nationalism: aggressive, exclusionary, allied with imperialism, Social Darwinism, and ethnic chauvinism. Same word, completely different politics. Nationalism went from ""free the people"" to ""dominate the world.""",7,I,comparison,medium,yes
"Compare Italian fascism and German Nazism using the Political (P) and Intellectual (I) lenses.","Italian fascism: authoritarian nationalist, corporatist state, less systematically racial (until German pressure). German Nazism: racial ideology at its core, industrial genocide, Lebensraum expansionism. Both were totalitarian and ultranationalist, but Nazism's racial biology made it uniquely destructive.",8,P,comparison,hard,yes
"Compare WWI and WWII using the Technology (T) lens.","WWI: trench warfare stalemate, poison gas, machine guns, early tanks and aircraft. WWII: mobile warfare (blitzkrieg), strategic bombing of civilians, radar, jet aircraft, nuclear weapons. WWI showed that technology could create deadlock; WWII showed it could create total destruction.",8,T,comparison,medium,yes
