id,date,startYear,endYear,precision,title,type,apUnit,apTopic,region,category,apTheme,tier,description,whyItMatters,causes,effects,memoryHook,sourceNote,confidence
u1-003,1469,1469,1469,exact,Marriage of Ferdinand and Isabella,event,1,1.3,Spain,political,SOP,2,"Ferdinand of Aragon marries Isabella of Castile, uniting Spain's two largest kingdoms and creating the basis for Spanish new monarchy.","Key example of new monarchy/state-building: religious unity (Inquisition, expulsion of Jews/Moors), centralized administration, and sponsorship of exploration.",Strategic dynastic alliance; Desire to consolidate Iberian Christian kingdoms,Spanish Inquisition established; Reconquista completed (1492); Sponsorship of Columbus; Expulsion of Jews (1492),1469: Ferdinand + Isabella = unified Spain,Viault Ch.1,high
u1-004,1492,1492,1492,exact,Reconquista Completed / Columbus's Voyage,event,1,1.4,Spain,imperial; war-diplomacy; religion,INT; SOP,1,"Spain conquers Granada (last Muslim state in Iberia), expels Jews, and Columbus reaches the Americas — three transformative events in one year.","1492 is a watershed year: ends the Reconquista, begins European global expansion, launches the Columbian Exchange. Essential for any essay on exploration, imperialism, or European interaction with the world.",Ferdinand and Isabella's consolidation of Spain; Desire for direct trade routes to Asia; Ottoman control of eastern Mediterranean,Columbian Exchange; Spanish colonial empire; Atlantic slave trade; Treaty of Tordesillas (1494); Destruction of Aztec and Inca empires,"1492: Granada falls, Jews expelled, Columbus sails — Spain goes global","Viault Ch.1,6; CED",high
u1-005,1494,1494,1494,exact,Treaty of Tordesillas,treaty,1,1.4,Spain; Portugal,imperial; war-diplomacy,INT; SOP,2,"Spain and Portugal divide the non-Christian world between them along a meridian line, with papal approval.","Shows European assumption of right to divide the globe, and the role of the papacy in legitimizing imperial claims. Sets up Spanish vs. Portuguese colonial empires.",Columbus's voyages; Competition between Spain and Portugal,Portugal gets Brazil and eastern route; Spain gets most of Americas; Precedent for European partition of the world,"Tordesillas: Pope draws a line, splits the world in two",CED; Viault Ch.6,high
u1-006,c. 1500–1650,1500,1650,range,Columbian Exchange,process,1,1.4,Spain; Portugal; France; Britain; Netherlands,economic; social; imperial,INT; ECON; SOD,1,"Transfer of plants, animals, diseases, people, and ideas between the Americas, Europe, and Africa following Columbus's voyages.","Fundamental AP concept: transforms global demographics, introduces new crops (potato, maize) that reshape European diet and population growth, while devastating indigenous populations through disease.",European exploration and colonization; Biological exchange across previously separate ecosystems,Population growth in Europe from New World crops; Devastation of indigenous American populations; Atlantic slave trade; Price Revolution in Europe; Spread of Christianity,"Columbian Exchange = crops, diseases, and people cross the Atlantic both ways",CED,high
u1-007,c. 1500–1700,1500,1700,range,Price Revolution,process,1,1.5,Spain; France; Britain; German States; Netherlands,economic,ECON,2,"Sustained inflation across Europe driven by influx of New World silver and gold combined with population growth, transforming economic relations.","Explains economic dislocation, declining real wages for laborers, enrichment of merchants, and strain on fixed-income nobility — connects exploration to social change.",Influx of New World precious metals; Population recovery after Black Death,"Enrichment of merchant class; Strain on fixed-income groups (nobility, wage earners); Growth of commercial capitalism; Contributed to social unrest","New World silver → prices rise → merchants win, nobles lose",CED; Viault Ch.6,high
u1-008,c. 1450–1700,1450,1700,range,Commercial Revolution,process,1,1.5,Italy; Netherlands; Britain; France; Spain; Portugal,economic,ECON,1,"Expansion of trade, banking, joint-stock companies, mercantilism, and proto-capitalist practices that transform the European economy from feudal to commercial.","Essential AP process: explains rise of merchant class, joint-stock companies, mercantilism, and the economic foundation for state power, exploration, and later industrialization.","Revival of long-distance trade; New World wealth; Growth of banking (Medici, Fuggers); Printing press facilitating commercial communication",Rise of bourgeoisie; Joint-stock companies (Dutch East India Co.); Mercantilism as state economic policy; Roots of capitalism,"Commercial Revolution = trade, banks, joint-stocks, mercantilism",CED; Viault Ch.6,high
u1-009,c. 1456,1456,1456,approximate,Gutenberg Printing Press,event,1,1.2,German States,scientific; intellectual,TSI; CID,1,"Johannes Gutenberg produces his Bible using movable metal type, revolutionizing the dissemination of knowledge across Europe.","Perhaps the single most important technological innovation for AP Euro: enables the Reformation, Scientific Revolution, Enlightenment, and mass literacy. Usable as evidence in almost any essay.",Existing demand for books; Chinese/Korean precedents for printing; Gutenberg's mechanical innovation,Rapid spread of Renaissance humanism; Luther's ideas disseminated quickly; Standardization of languages; Growth of literacy and public sphere,Gutenberg's press = Renaissance & Reformation's megaphone,Viault Ch.3; CED,high
u1-010,c. 1450–1600,1450,1600,range,Age of Exploration,process,1,1.4,Portugal; Spain; France; Britain; Netherlands,imperial; economic,INT; ECON; TSI,1,"European maritime exploration driven by the search for trade routes, wealth, and Christian converts, leading to global European empires.","Defines AP Theme INT (Interaction of Europe and the World). Connects to state-building, mercantilism, the Columbian Exchange, and the Atlantic world system.","Ottoman control of overland trade routes; New navigation technology (compass, astrolabe, caravel); Desire for gold, spices, and Christian expansion; Portuguese school of navigation (Henry the Navigator)",European colonial empires; Columbian Exchange; Atlantic slave trade; Commercial Revolution; Global trade networks,"Gold, God, Glory = three motives for exploration",CED; Viault Ch.6,high
u1-011,1434,1434,1434,exact,Cosimo de' Medici Rules Florence,event,1,1.2,Italy,political; artistic,SOP; CID,2,"Cosimo de' Medici becomes effective ruler of Florence, making it the leading center of Renaissance patronage and culture.","The Medici exemplify how wealth, banking, and patronage drove the Renaissance — key evidence for essays on the relationship between economics and culture.",Medici banking wealth; Florentine oligarchic politics,Florence becomes the center of Renaissance art and learning; Patronage model shapes European culture; Medici dynasty continues through Lorenzo the Magnificent,Cosimo = Medici money → Florence's golden age,Viault Ch.2,high
u1-012,1513,1513,1513,exact,Machiavelli Writes The Prince,work,1,1.2,Italy,intellectual; political,CID; SOP,1,"Niccolò Machiavelli's The Prince advocates secular, amoral political realism — the ruler should do whatever necessary to maintain power.","Essential AP text: defines secular political thought, breaks from Christian morality in politics, and introduces 'the ends justify the means.' Usable in essays on state-building, secularism, and political theory.",Instability of Italian city-states; Machiavelli's experience in Florentine politics; Influence of classical political thought,Foundation of modern political science; Influenced later absolutist theory; Concept of raison d'état,Machiavelli: 'It is better to be feared than loved' (The Prince),Viault Ch.2; CED,high
u1-013,1508–1512,1508,1512,range,Michelangelo Paints Sistine Chapel Ceiling,work,1,1.2,Italy,artistic,CID,2,"Michelangelo paints the ceiling of the Sistine Chapel with scenes from Genesis, representing the pinnacle of Renaissance artistic achievement.","Iconic example of Renaissance art's fusion of classical technique with religious subject matter, papal patronage, and individual genius.",Commission by Pope Julius II; Michelangelo's artistic genius; Renaissance emphasis on individual achievement,Set standard for monumental painting; Demonstrated potential of individual artistic vision; Influenced all subsequent Western art,Michelangelo: 4 years on his back = Sistine ceiling,Viault Ch.2,high
u1-014,1516,1516,1516,exact,Thomas More Publishes Utopia,work,1,1.2,Britain,intellectual,CID,2,"More's Utopia describes an ideal society based on reason and tolerance, critiquing contemporary European social, political, and religious problems.",Exemplifies Christian humanism and Northern Renaissance idealism; early critique of private property and social inequality.,Northern Renaissance humanism; More's legal and political experience; Influence of Erasmus,Influenced later utopian and socialist thought; Model for social criticism through literature,Utopia = 'no place' — More's ideal society as critique of reality,Viault Ch.3,high
u1-015,1519–1556,1519,1556,range,Reign of Charles V,period,1,1.3,Spain; German States; Austria; Netherlands; Italy,political; war-diplomacy,SOP,1,"Habsburg emperor rules Spain, the Holy Roman Empire, Netherlands, and vast New World territories — the last attempt at universal Christian monarchy in Europe.","Charles V's empire is central to understanding state-building, the Reformation (Diet of Worms), Habsburg-Valois rivalry, and the impossibility of European political unity.",Habsburg dynastic marriages; Inheritance of Spanish and Austrian domains,Wars with France over Italy; Unable to suppress Lutheranism; Peace of Augsburg (1555); Division of Habsburg lands (Spanish and Austrian branches),"Charles V: too many enemies, too big an empire, abdicates exhausted","Viault Ch.1,4; CED",high
u1-016,c. 1500–1600,1500,1600,range,Atlantic Slave Trade Begins,process,1,1.4,Portugal; Spain; Britain; France; Netherlands,imperial; social; economic,INT; SOD; ECON,1,"Europeans begin systematic enslavement and transport of Africans to the Americas, creating the transatlantic slave economy that lasts until the 19th century.","Central to AP Theme INT; demonstrates intersection of racism, capitalism, imperialism, and human suffering. Essential evidence for any essay on European global interaction.",Labor demand in New World plantations; Indigenous population decline from disease; Existing African slave trade networks; European racial ideology developing,Millions of Africans enslaved; Triangular trade system; Enrichment of European economies; Lasting racial hierarchies and inequality,Triangular trade: Europe → Africa (goods) → Americas (slaves) → Europe (sugar/tobacco),CED,high
u1-017,c. 1450–1600,1450,1600,range,New Monarchies,process,1,1.3,France; Britain; Spain,political,SOP,1,"Centralized national monarchies emerge in France, England, and Spain, consolidating royal power over nobility, church, and representative assemblies.",Core AP state-building concept: new monarchies establish the pattern of centralized power that evolves into absolutism. Connects to every unit's SOP theme.,Decline of feudalism after Hundred Years' War and Black Death; Gunpowder weapons reduce noble military power; Royal taxation and bureaucracy,Professional armies and bureaucracies; Decline of feudal nobility's independent power; Precedent for absolutism; State control over national churches,"New Monarchies: Henry VII, Louis XI, Ferdinand & Isabella — kings beat nobles",Viault Ch.1; CED,high
u1-018,1512,1512,1512,exact,Erasmus Publishes Praise of Folly,work,1,1.2,Netherlands,intellectual; religion,CID,2,"Erasmus satirizes church corruption, superstition, and ignorance while advocating reform from within — the quintessential Christian humanist text.",Erasmus exemplifies Christian humanism: critical of the church but opposed to Protestant schism. Key for understanding the intellectual climate that made the Reformation possible.,Northern Renaissance Christian humanism; Erasmus's classical education; Widespread awareness of church abuses,Helped create intellectual climate for Reformation; Modeled scholarly criticism of institutions; Influenced Protestant reformers even though Erasmus remained Catholic,"Erasmus: 'Prince of Humanists' — mocked the church, stayed Catholic",Viault Ch.3; CED,high
u1-019,1518,1518,1518,exact,Castiglione Writes The Book of the Courtier,work,1,1.2,Italy,intellectual; social,CID; SOD,3,"Castiglione defines the ideal Renaissance gentleman: educated in classics, skilled in arms, graceful in manner — a guide to courtly behavior.",Defines Renaissance social ideals of the well-rounded individual and becomes a model for European aristocratic education for centuries.,Renaissance emphasis on individual achievement; Courtly culture in Italian city-states,Influenced European aristocratic education; Spread Renaissance ideals beyond Italy; Model of the 'Renaissance man',Castiglione: the original self-help book for Renaissance gentlemen,Viault Ch.2,high
u1-020,c. 1450–1600,1450,1600,range,Northern Renaissance,process,1,1.2,Netherlands; German States; France; Britain; Spain,artistic; intellectual,CID,1,"Spread of Renaissance culture north of the Alps, characterized by Christian humanism (Erasmus, More) and distinctive artistic traditions (van Eyck, Dürer, Brueghel).","Shows how Renaissance ideas adapted to different national contexts, with stronger religious emphasis than in Italy. Key comparison opportunity.",Printing press spreads Italian ideas; Trade connections between Italy and Northern Europe; Patronage by northern monarchs and merchants,"Christian humanism provides intellectual foundation for Reformation; Vernacular literature flourishes (Shakespeare, Cervantes, Rabelais); Distinctive artistic traditions (Flemish oil painting, German printmaking)",Northern Renaissance = Christian humanism + oil painting + printing press,Viault Ch.3; CED,high
u1-021,c. 1520s–1540s,1520,1545,range,Conquest of Aztec and Inca Empires,event,1,1.4,Spain,imperial; war-diplomacy,INT,2,"Spanish conquistadors Cortés and Pizarro destroy the Aztec (1521) and Inca (1533) empires, establishing Spanish colonial rule in the Americas.",Demonstrates the devastating impact of European expansion on indigenous civilizations and the establishment of colonial extraction economies.,"Spanish desire for gold and glory; Technological advantages (guns, steel, horses); Diseases devastating indigenous populations; Indigenous political divisions exploited by Spanish",Destruction of indigenous civilizations; Spanish colonial empire in Americas; Flow of silver and gold to Europe; Columbian Exchange intensifies,Cortés (Aztecs 1521) + Pizarro (Incas 1533) = Spanish conquest,CED; Viault Ch.6,high
u2-001,1517,1517,1517,exact,Luther Posts the 95 Theses,event,2,2.1,German States,religion,CID; SOP,1,"Martin Luther posts his 95 Theses in Wittenberg, challenging the sale of indulgences and igniting the Protestant Reformation.","One of the most important dates in AP Euro: begins the Reformation, which shatters religious unity, reshapes politics, causes wars, and transforms European culture for centuries.",Sale of indulgences to fund St. Peter's basilica; Luther's theology of justification by faith alone; Long-standing grievances against papal authority and church corruption; Printing press enables rapid dissemination,Protestant Reformation begins; Lutheranism spreads across northern Germany and Scandinavia; Diet of Worms (1521); Religious wars; Counter-Reformation,1517: Luther's 95 Theses — the Reformation's starting gun,Viault Ch.4; CED,high
u2-002,1521,1521,1521,exact,Diet of Worms,event,2,2.1,German States,religion; political,CID; SOP,1,"Luther refuses to recant before Emperor Charles V, declaring 'Here I stand.' He is declared an outlaw but protected by Frederick of Saxony.",Shows the intersection of religion and politics: German princes protect Luther for both religious conviction and political advantage against imperial authority.,Luther's refusal to recant; Charles V's desire to maintain Catholic unity; German princes' political interests,Luther protected by German princes; Reformation becomes a political as well as religious movement; Luther begins building Lutheran church organization,"'Here I stand, I can do no other' — Luther at Worms",Viault Ch.4; CED,high
u2-003,1524–1525,1524,1525,range,German Peasants' War,war,2,2.1,German States,social; religion,SOD; CID,2,"German peasants revolt, invoking Luther's ideas of Christian liberty, but Luther condemns the uprising and sides with the princes.","Shows how Reformation ideas could inspire social revolution, but also how Luther's conservatism limited the Reformation's radical potential — key complexity point.",Peasant grievances against serfdom and noble exploitation; Misinterpretation of Luther's 'freedom of a Christian'; Long-standing rural discontent,"Brutal suppression — ~100,000 peasants killed; Luther's alliance with German princes solidified; Reformation becomes a conservative, state-directed movement; Anabaptists emerge as radical alternative",Peasants: 'Luther said we're free!' Luther: 'Not like that!',Viault Ch.4; CED,high
u2-004,1536,1536,1536,exact,Calvin Publishes Institutes of the Christian Religion,work,2,2.2,France; Switzerland,religion; intellectual,CID,1,"John Calvin's systematic theology emphasizing predestination, the elect, and theocratic governance becomes the most influential Protestant theology internationally.","Calvinism spreads far more widely than Lutheranism: to France (Huguenots), Netherlands, Scotland (Presbyterians), England (Puritans), and shapes political resistance theory.",Calvin's legal and humanist education; Influence of Luther and Zwingli; Desire for systematic Protestant theology,Geneva becomes 'Protestant Rome'; Calvinism spreads across Europe; Huguenots in France; Puritans in England; Reformed churches in Netherlands and Scotland; Calvinist resistance theory influences political thought,Calvin: predestination + theocracy in Geneva → Calvinism goes global,Viault Ch.4; CED,high
u2-005,1534,1534,1534,exact,Act of Supremacy (English Reformation),event,2,2.3,Britain,religion; political,SOP; CID,1,"Parliament declares Henry VIII the Supreme Head of the Church of England, breaking from papal authority — a political rather than theological reformation.","Unique Reformation: driven primarily by royal politics (Henry's divorce), not theology. Creates the Anglican Church, confiscates monasteries, and sets up centuries of English religious conflict.",Henry VIII's desire to annul marriage to Catherine of Aragon; Pope Clement VII's refusal (under Habsburg pressure); Influence of Thomas Cromwell and Thomas Cranmer,Church of England established; Dissolution of the monasteries; Crown acquires church wealth; Religious instability through Tudor era,"Henry VIII: wanted a divorce, got a church",Viault Ch.4; CED,high
u2-006,1559,1559,1559,exact,Elizabethan Settlement,event,2,2.3,Britain,religion; political,SOP; CID,2,Elizabeth I establishes a moderate Protestant settlement: Act of Supremacy and Act of Uniformity create a 'via media' (middle way) for the Church of England.,"Elizabethan Settlement is AP's model of pragmatic religious compromise — but it satisfies neither Puritans nor Catholics, setting up future conflict.",Religious instability under Edward VI and Mary I; Elizabeth's pragmatic temperament; Need for political stability,Church of England broadly Protestant but retains some Catholic forms; Puritans demand further reform; Catholics face increasing persecution; Relative religious peace during Elizabeth's reign,Elizabeth's 'via media' = middle way between Catholic and Calvinist,Viault Ch.4; CED,high
u2-007,1562–1598,1562,1598,range,French Wars of Religion,war,2,2.4,France,war-diplomacy; religion; political,SOP; CID,1,"Decades of civil war between Catholic and Huguenot (Calvinist) factions, featuring massacres, foreign intervention, and political chaos.",Key example of how religious division causes political violence. The Wars of Religion end with the Edict of Nantes — a landmark in the history of religious toleration.,"Spread of Calvinism among French nobility; Weak Valois monarchs; Catholic Guise family vs. Huguenot Bourbon family; Foreign intervention (Spain, England)","St. Bartholomew's Day Massacre (1572); Henry IV converts to Catholicism; Edict of Nantes (1598); France exhausted, later recovers under Bourbon dynasty","French Wars of Religion: 36 years, 8 wars, one massacre everyone remembers",Viault Ch.5; CED,high
u2-008,1572,1572,1572,exact,St. Bartholomew's Day Massacre,event,2,2.4,France,religion; war-diplomacy,CID; SOP,1,"Catholic mobs massacre thousands of Huguenots in Paris and across France on the feast of St. Bartholomew, with royal complicity.",Most notorious act of religious violence in AP Euro. Demonstrates the lethal consequences of religious intolerance and political manipulation of religious hatred.,Catholic fear of Huguenot political influence; Catherine de' Medici's political calculations; Failed assassination attempt on Coligny,"~10,000-30,000 Huguenots killed; International Protestant outrage; Calvinist resistance theory develops; Wars of Religion intensify","St. Bartholomew's Day 1572: bells ring, blood flows",Viault Ch.5; CED,high
u2-009,1598,1598,1598,exact,Edict of Nantes,event,2,2.4,France,religion; political,SOP; CID,1,"Henry IV grants Huguenots limited religious freedom, political rights, and fortified cities — the first major attempt at legal religious toleration in a Catholic country.",Landmark in the history of toleration. Its later revocation by Louis XIV (1685) is equally important as an act of absolutist intolerance.,Exhaustion from Wars of Religion; Henry IV's pragmatism ('Paris is worth a Mass'); Need for political stability,Relative religious peace in France; Huguenots gain protected status; Precedent for toleration (limited); Revoked by Louis XIV in 1685 — Huguenots flee France,Henry IV: 'Paris is worth a Mass' → Edict of Nantes = peace,Viault Ch.5; CED,high
u2-010,1555,1555,1555,exact,Peace of Augsburg,treaty,2,2.1,German States,religion; political,SOP; CID,1,"Treaty establishing the principle of cuius regio, eius religio — each German prince determines whether his territory is Lutheran or Catholic.",First legal recognition of religious division in Europe. Does NOT include Calvinists — this omission contributes to the Thirty Years' War.,Charles V's inability to suppress Lutheranism; Military stalemate between Catholic and Protestant princes,Religious division institutionalized in Germany; Calvinism excluded → future conflict; Precedent for territorial sovereignty in religion; Charles V abdicates in disgust,"Augsburg 1555: cuius regio, eius religio (whose realm, his religion)",Viault Ch.4; CED,high
u2-011,1618–1648,1618,1648,range,Thirty Years' War,war,2,2.5,German States; France; Spain; Sweden; Austria; Netherlands,war-diplomacy; religion; political,SOP; CID,1,"Devastating war beginning as religious conflict in the Holy Roman Empire and evolving into a struggle for European political dominance, killing up to 8 million.",The last major European religious war and the defining event for the transition from religious to secular politics. Peace of Westphalia establishes the modern state system.,Defenestration of Prague (1618); Religious tensions (Calvinists excluded from Augsburg); Habsburg vs. anti-Habsburg political rivalries; French intervention under Richelieu (Catholic France supports Protestants against Habsburgs),Peace of Westphalia (1648); Modern state sovereignty established; Germany devastated — population decline ~25-40%; France emerges as dominant European power; End of Habsburg bid for European supremacy,"30 Years' War: started religious, ended political. Westphalia = modern state system",Viault Ch.5; CED,high
u2-012,1648,1648,1648,exact,Peace of Westphalia,treaty,2,2.5,German States; France; Spain; Sweden; Netherlands,war-diplomacy; political,SOP,1,"Treaties ending the Thirty Years' War, establishing state sovereignty, extending religious toleration to Calvinists, and recognizing Dutch independence.","Watershed moment in AP Euro: establishes the modern concept of sovereign nation-states, ends religious wars as a primary cause of European conflict, and marks the beginning of the modern international system.",Exhaustion from Thirty Years' War; Desire for political stability; Balance-of-power considerations,Sovereignty of over 300 German states recognized; Calvinism legally recognized; Dutch Republic independent; Swiss independence confirmed; France gains territory; Habsburg power weakened; Modern international system born,1648 Westphalia: birth certificate of the modern state system,Viault Ch.5; CED,high
u2-013,1545–1563,1545,1563,range,Council of Trent,event,2,2.6,Italy,religion,CID; SOP,1,"Catholic Church council reaffirms core Catholic doctrines, rejects Protestant theology, and enacts reforms addressing abuses like simony and absenteeism.",Defines the Catholic/Counter-Reformation: doctrinal clarity + internal reform + militant defense of Catholicism. Essential for any essay comparing Protestant and Catholic responses.,Protestant Reformation threatens Catholic Church; Demands for internal reform; Pope Paul III's reforming papacy,"Catholic doctrine clearly defined vs. Protestantism; Reforms: end of indulgence sales, seminary education required; Strengthened papal authority; Energized Catholic missionary and educational efforts","Trent: reaffirm doctrine, reform abuses, reject Protestantism",Viault Ch.5; CED,high
u2-014,1540,1540,1540,exact,Jesuits Founded (Society of Jesus),event,2,2.6,Spain; Italy,religion; intellectual,CID; SOP,1,"Ignatius Loyola's Society of Jesus receives papal approval; Jesuits become the Catholic Church's most effective agents of education, missions, and counter-reformation.","Jesuits are central to the Catholic Reformation: they recover Poland and parts of Germany for Catholicism, establish global missions, and create an elite educational network.",Ignatius Loyola's conversion experience; Need for organized response to Protestantism; Military-style discipline and education,"Catholic recovery in Poland, Bavaria, southern Germany; Global Jesuit missions (Asia, Americas, Africa); Jesuit schools become Europe's premier educational institutions; Influence on Catholic intellectual life","Jesuits: soldiers of God — education, missions, counter-reformation",Viault Ch.5; CED,high
u2-015,1568–1648,1568,1648,range,Dutch Revolt,war,2,2.4,Netherlands; Spain,war-diplomacy; religion; political; economic,SOP; CID; ECON,1,"The Netherlands revolt against Spanish Habsburg rule, driven by Calvinist religion, economic grievances, and local political traditions, ultimately achieving independence.","Multi-causal conflict: religion, economics, nationalism, constitutionalism. The Dutch Republic becomes Europe's leading commercial power and a model of religious toleration.",Philip II's attempt to enforce Catholicism; Spanish taxation and centralization; Calvinist religious conviction; Tradition of local self-governance,Dutch Republic established (recognized 1648); Dutch Golden Age of commerce and culture; Model of religious toleration; Dutch colonial empire; William of Orange becomes national hero,Dutch Revolt: religion + taxes + local rights vs. Spain = independence,Viault Ch.5; CED,high
u2-016,1588,1588,1588,exact,Defeat of the Spanish Armada,event,2,2.4,Britain; Spain,war-diplomacy,SOP; INT,2,"English navy and storms destroy Philip II's invasion fleet, securing English independence and Protestant identity.",Marks the beginning of English naval power and the decline of Spanish dominance. Strengthens English Protestant identity and national confidence.,Philip II's desire to restore Catholicism in England; English support for Dutch rebels; Drake's raids on Spanish shipping; Elizabeth I's refusal to marry Philip,English naval power established; Spanish decline begins; Protestant England secured; English confidence and nationalism surge,"1588: Armada sinks, England rises",Viault Ch.5; CED,high
